Наименование	Штрихкод
Антисептик кожный Оперсепт, Люмакс-Асепт д/обр опер поля, 1/ 1л. литр * №1 НеуказанаСтрана		
Аппарат для лечения ран отриц давл однораз 10*20см Pico (д/травматологии) НеуказанаСтрана		
АПТВ-эл-тест 100 определений * №1		
Арифон ретард таб. п/о 1,5 мг № 30 * №30 НеуказанаСтрана		
Артелак Всплеск Уно 0,5мл флакон №30 глазные капли (ст)		
Артрозан р-р в/м 6 мг/мл амп.		
Асептисорб с кровоостан.действием, штука * №1 НеуказанаСтрана		
Аскорбиновая к-та 5% 2мл №10, ампула НеуказанаСтрана		
Аспирин кардио 100мг таблетка №28 (ст) НеуказанаСтрана		
Атропина сульфат 0,1% 1мл №10,  ампула		
Афлутоп, 1 мл, № 10, ампула * №10 НеуказанаСтрана		
Аципол капсулы 10млн КОЕ (банка 30 капс) (стац) НеуказанаСтрана		
АЦЦ 200 гранулят пакетик №20 (ст)		
АЦЦ 200 мг, табл. шипучие, штука		
Аэртал 100мг таблетка №20 НеуказанаСтрана		
Балон интраназальный БИ,стер, 2 шт в уп. НеуказанаСтрана		
Бандаж (ортез) на лучезапястный сустав левый р.S, M, L WR-S302 НеуказанаСтрана		
Бандаж (ортез) на лучезапястный сустав правый  р. S, M, XL WRS302 НеуказанаСтрана		
Бандаж (ортез) на лучезапястный сустав с металлической шиной  р. S, M, L, XLWRS-202 НеуказанаСтрана		
Бандаж (ортез) шейно-грудной д/взросл Филадельфия универсал НеуказанаСтрана		
Бандаж (фиксатор)  1 пальца кисти L  F 3004 НеуказанаСтрана		
Бандаж (фиксатор) голеностопного сустава с пластиной на шнур фикс (S,L, M, XL) F 2271 НеуказанаСтрана		
Бандаж (фиксатор) для нижней конечности, S, M, L, FS1205 НеуказанаСтрана		
Бандаж (фиксатор) колена с пластинами  р-р M, L, XL черн F 1291 НеуказанаСтрана		
Бандаж (фиксатор) локтя и плеча №1;  №2 ; №3 К-400 НеуказанаСтрана		
Бандаж (фиксатор) на голеностопный сустав  р-р S, M (с силикон.элементами) F2602 НеуказанаСтрана		
Бандаж (фиксатор) на коленный сустав  р-р XS, XXS (неопрен.с отверст. и усиливающ.зад.швами) F1258 НеуказанаСтрана		
Бандаж (фиксатор) плеча (корректор осанки) Кольца Дельбье (30-38) №1, (38-42) №2, (44-48) №3  К-503 НеуказанаСтрана		
Бандаж (шина)  для пальцев кисти protect.Finger stax medi  набор из 30 шин P771 НеуказанаСтрана		
Бандаж (шина) большого пальца кисти отводящая F3209 НеуказанаСтрана		
Бандаж (шина) для фиксации плеча, предплечья, кисти, пальцев Immo 2440 НеуказанаСтрана		
Бандаж F 2010 (фиксатор) голеностопа, штука НеуказанаСтрана		
Бандаж д/руки, К-402 штука НеуказанаСтрана		
Бандаж на голеностопный сустав р.S,M,L,XL,XXL MAN-101 НеуказанаСтрана		
Бандаж на голеностопный сустав р.М-L Т-8601 НеуказанаСтрана		
Бандаж на колено c фиксирующей подушечкой и отверстием р.S RKN-103 НеуказанаСтрана		
Бандаж на плечевой сустав косыночный  р. XS, S, M, L, XL AS-302 НеуказанаСтрана		
Бандаж на шейный отдел позвоночника для детей от 1 года -(4,5,6,7) БН6-53 НеуказанаСтрана		
Банеоцин порошок, 1/10 гр, НеуказанаСтрана		
Баралгин М 5мл №5, ампула		
Бахилы низкие нетканные пл.25 сланбонд НеуказанаСтрана		
Бахилы полиэтилен (пл.2,6; 3,8; 4, 25, 50) повыш. плотности (сланбонд низкие нетканные) (пара) НеуказанаСтрана		
Бахилы хирургические высокие нетканные нестерильные пл.25 (операц) НеуказанаСтрана		
Белье послеоперационной для обеспечения компрессии (бюстгалтер) * №1		
Беродуал Н 10мл аэрозоль 200доз (смп/ст/пк) НеуказанаСтрана		
Беродуал р-р д/ингал. фл. 20 мл		
Бетадин р-р (повидон-йод) 10%  1/1000мл., НеуказанаСтрана		
Бетадин р-р 10% 120 мл (повидон-йод)		
Беталок 30к 50мг  №30, таблетка		
Беталок р-р для в/в вв 1мг/мл  5мл №5, ампула 		
Бетасерк таб. 24 мг. №20 НеуказанаСтрана		
Бинт гипсовый эконом вариант SAFIX PLUS (по 2шт): 10см*3м; 14см*3м НеуказанаСтрана		
Бинт гипсовый эконом вариант SAFIX PLUS.8см х3 м 2шт НеуказанаСтрана		
Бинт затвердевающий (2,5*1,8) беж синтет Целлакаст Экстра (дг)		
Бинт затвердевающий (5.0*3.6), (7.5*3.6), (10*3,6), (12.5*3.6) бежев.синтет. Целлакаст Экстра (дг)		
Бинт нестерильный 5м*10см, 		
Бинт нестерильный 7м*14см, НеуказанаСтрана		
Бинт подкладочный 15см*3м №1 ROLTA-SOFT (дг)		
Бинт Ролта-Софт мягкий 3м*6 см		
Бинт Ролта-Софт подкладочный 3м*10 см		
Бинт самофиксирующийся когезивный 20м*6 см PEHA HAFT, штука НеуказанаСтрана		
Бинт самофиксирующийся когезивный 20м*8 см PEHA HAFT, штука НеуказанаСтрана		
Бинт самофиксирующийся когезивный 4м*12см №1 PEHA-HAFT, штука НеуказанаСтрана		
Бинт самофиксирующийся когезивный 4м*6см №1 PEHA-HAFT, штука НеуказанаСтрана		
Бинт самофиксирующийся когезивный 4м*8см PEHA HAFT (красный), штука НеуказанаСтрана		
Бинт сетчатый трубчатый №3 STULPA-FIX 25м (оп)		
Бинт сетчатый трубчатый №4 STULPA-FIX 25м		
Бинт сетчатый трубчатый №OR STULPA 1.5см*15м (дг)		
Бинт эластичный 1,5м*10см с застежкой * №1 НеуказанаСтрана		
Бинт эластичный 10 см*5 м		
Бинт эластичный компрессионный 10*300см		
Бинт эластичный с застежками ИНТЕКС 2,5*10см, 3,0*10см, 3,5*10см (в усл) (ст/оп/дг) * №1 НеуказанаСтрана		
БИОСИН ВСЕ РАЗМЕРЫ Шовный материал НеуказанаСтрана		
Боботик капли д/приема внутрь,30 мл		
Ботокс. Лиофилизат для приготовления раствора для внутримышечного введения 200 ЕД * №1 НеуказанаСтрана		
Браслет медицинский * №1 НеуказанаСтрана		
Бриллиантовый зеленый р-р 1%  10 мл, 20 мл, 25 мл флакон 		
Бумага для ЭКГ 110*30*12 с сеткой д/Альтон Аммон (рулон) (смп)		
Бумага для ЭКГ 110мм/140мм НеуказанаСтрана		
Бумага для ЭКГ Лента диаграммная из термобумаги р-4098 (110х140х200) НеуказанаСтрана		
Бусерелин-депо лиоф д/пригот. сусп. в/м 3,75мг №1 (гормон п/опух) * №1 НеуказанаСтрана		
Вазелин медицинский 30г., флакон		
Вазелиновое масло флакон 100мл НеуказанаСтрана		
Вакцина Альгавак М сусп. д в/м введ. амп. 1мл., штука НеуказанаСтрана		
Вакцина антирабическая концентр КОКАВ ампула1доза (дг) НеуказанаСтрана		
Вакцина клещевого энцефалита 0,5мл № 1КЛЕЩ-Э-ВАК * №1 НеуказанаСтрана		
Вакцина клещевого энцефалита Клещ-Э-Вак 0,25мл, № 1, штука * №1 НеуказанаСтрана		
Вакцина Корь, краснуха, паротит, ПРИОРИКС 1фд/1доза НеуказанаСтрана		
Вакцина Пневмо-23		
Вакцина Столбняк Анатоксин АС 1амп-1мл №10 (дг) * №10 НеуказанаСтрана		
Вальсакор, 160 мг. № 30, таблетка		
Ванкомицин 1,0 флакон №1 пор д/р-р д/инф (а/б) (ст)		
Ванкомицин пор. д/приг. р-ра д/инф 0,5 г. №1, флакон * №1 НеуказанаСтрана		
Варфарин Никомед 2,5мг таблетка/флакон №100 (ст) НеуказанаСтрана		
Вата стерильная/нестерильная гигиеническая хирургическая хлопковая 50г - 250г (дг) НеуказанаСтрана		
Ватные палочки нестерильные 00 №1 Мир Детства Россия-Таиланд		
Вектибикс 20 мг/мл концентрат для пригот.р-ра д/инф, штука НеуказанаСтрана		
Венофер 20мг/мл ампула 5мл №5 р-р в/в введ. (железо) НеуказанаСтрана		
Венофундин заменитель плазмы 6% флакон 500 мл., флакон НеуказанаСтрана		
Вентолин Небулы р-р д/ингал. 2,5мг амп 2,5мл №20 НеуказанаСтрана		
Верошпирон 25мг. №20, таблетка НеуказанаСтрана		
Верошпирон капсула 50мг №30 (ст)		
Вессел Дуэ Ф р-р д/ин 600 ЛЕ ампула2мл №10 (а/коагул) * №10 НеуказанаСтрана		
ВИКРИЛ ВСЕ РАЗМЕРЫ Шовный материал * №1 РОССИЯ		
Винкристин-тева р-р для в/в введения 1 мг/мл НеуказанаСтрана		
Винт блокируемый кортикальный 1,5*15мм; 2,4*24мм; 3,5мм (титан) код131220415, ЭС300160 * №1 НеуказанаСтрана		
Винт кортикальный 2,7мм,-14 мм с внутренним шестигранником 		
Винт кортикальный 2,7мм,-16 мм с внутренним шестигранником 		
Винт кортикальный с конич. резьбой 2,3мм-16мм (85.02.16) НеуказанаСтрана		
Винт кортикальный с конич. резьбой 2,3мм-18мм (85.02.18) НеуказанаСтрана		
Винт кортикальный с конич. резьбой 2,3мм-20мм (85.02.20) НеуказанаСтрана		
Винт кортикальный с конич. резьбой 2,3мм-22мм НеуказанаСтрана		
Винт кортикальный с конич. резьбой 2,3мм-24мм (85.02.24) НеуказанаСтрана		
Винт кортикальный с конич. резьбой 2,3мм-28мм (85.02.28) НеуказанаСтрана		
Винт кортикальный с конич. резьбой 2,3мм-30мм (85.02.30) НеуказанаСтрана		
Винт кортикальный с конич. резьбой 2,3мм-8мм (85.02.08) НеуказанаСтрана		
Винт кортикальный с конической  резьбой 2,3мм-14мм НеуказанаСтрана		
Винт кортикальный с конической  резьбой 3,5мм - 20мм  (85.03.20)* НеуказанаСтрана		
Винт кортикальный с конической резьбой 2,3мм-10мм, 2,3мм-8мм (85.02.10) НеуказанаСтрана		
Винт кортикальный с конической резьбой 2,3мм-12мм (85.02.12)		
Винт кортикальный с конической резьбой 2,3мм-26мм		
Винт кортикальный с конической резьбой 3,5*50 мм (22.10.50) НеуказанаСтрана		
Винт кортикальный с конической резьбой 3,5мм - 15мм  (85.03.15)* НеуказанаСтрана		
Винт кортикальный с конической резьбой 3,5мм-34мм  (85.03.34)		
Винт кортикальный шестигранник  3,5*12, 2,5мм НеуказанаСтрана		
Винт кортикальный шестигранник  3,5*14, 2,5мм НеуказанаСтрана		
Винт кортикальный шестигранник  3,5*18, 2,5мм НеуказанаСтрана		
Винт кортикальный шестигранник  3,5*22, 2,5 мм НеуказанаСтрана		
Винт кортикальный шестигранник  3,5*24, 2,5мм НеуказанаСтрана		
Винт кортикальный шестигранник  3,5*26, 2,5мм НеуказанаСтрана		
Винт кортикальный шестигранник  3,5*28, 2,5 мм НеуказанаСтрана		
Винт кортикальный шестигранник  3,5*30, 2,5 мм НеуказанаСтрана		
Винт кортикальный шестигранник  3,5*32, 2,5 мм НеуказанаСтрана		
Винт кортикальный шестигранник  3,5*38, 2,5 мм. НеуказанаСтрана		
Винт кортикальный шестигранник  3,5*40, 2,5 мм. НеуказанаСтрана		
Винт кортикальный шестигранник  3,5*44, 2,5 мм. НеуказанаСтрана		
Винт кортикальный шестигранник  3,5*45, 2,5 мм НеуказанаСтрана		
Винт кортикальный шестигранник  3,5*46, 2,5 мм. НеуказанаСтрана		
Винт кортикальный шестигранник  3,5*48, 2,5 мм. НеуказанаСтрана		
Винт кортикальный шестигранник 3,5*42, 2,5 мм НеуказанаСтрана		
Винт кортикальный шестигранник 4,5*50, 3,5мм НеуказанаСтрана		
Винт спонгиозный 3,5 мм НеуказанаСтрана		
Винт спонгиозный 4,0*14 шестигранник 2,5 мм (22.15.14) НеуказанаСтрана		
Винт спонгиозный 4,0*18/07 шестигранник 2,5 мм, (22.14.18) НеуказанаСтрана		
Винт спонгиозный 4,0*20 шестигранник 2,5 мм (22.15.20) НеуказанаСтрана		
Винт спонгиозный 4,0*22/09, шестигранник 2,5мм (22.14.22) НеуказанаСтрана		
Винт спонгиозный 4,0*24 шестигранник 2,5 мм (22.15.24) НеуказанаСтрана		
Винт спонгиозный 4,0*30, (22.15.30) НеуказанаСтрана		
Винт спонгиозный 4,0*40, (22.15.40) НеуказанаСтрана		
Винт спонгиозный 4,0*50, шестигранник 2,5мм НеуказанаСтрана		
Винт спонгиозный 4,0*55, шестигранник 2,5мм НеуказанаСтрана		
Винт спонгиозный шестигранный  4,0*10/05; 2,5 мм (22.14.10) НеуказанаСтрана		
Вкладыши противошумные (полиуретан) * №1 НеуказанаСтрана		
ВМС Юнона Био-Т Ag № 1, штука НеуказанаСтрана		
Воронка ушная одноразовая, стерильная, штука НеуказанаСтрана		
Воротник ортопедический F9002 НеуказанаСтрана		
Воск хирургич. 2,5 гр, д/костн.тканей НеуказанаСтрана		
Гадовист р-р для в/в введ 5мл шприц №5 (контраст.в-во для МРТ) НеуказанаСтрана		
Гадовист, контраст.в-во д/МРТ р-р для в/в введ 7,5 мл., шприц НеуказанаСтрана		
Галидор 2,5% ампула 2мл №10 (спаз/лит) (ст) НеуказанаСтрана		
Галоперидол 5мг ампула 1мл №5 (нейролептик) (ст) НеуказанаСтрана		
Ганатон табл. 50 мг,штука НеуказанаСтрана		
Гевискон двойное действие сусп.10мл №12 * 12 НеуказанаСтрана		
Гексорал 0,1% р-р фл 200 мл		
Гелангин Нова 0,1% 200 мл,флакон НеуказанаСтрана		
Гелофузин р-р д/инф  500мл №10, флакон 		
Гель для УЗИ "Акугель-Электро"  0,25 кг * №1 НеуказанаСтрана		
Гель для УЗИ "Акугель" 1 кг, кг. НеуказанаСтрана		
Гель для ЭКГ "Акугель-Электро" 0,25кг, кг НеуказанаСтрана		
Гентамицина сульфат 4% 2мл №10, ампула * №10 НеуказанаСтрана		
Гепа-Мерц 5г/10мл ампула №10 (г/протект) (ст) НеуказанаСтрана		
Гепарин 5000ЕД/мл  5 мл №5, ампула НеуказанаСтрана		
Гептор 400 мг лиоф.д/приг р-ра для в/в и в/м введ № 5,фл		
Гептрал, лиофилизат для приготовления раствора для инъекций, 400мг, флакон		
Гиалон протез синовиальной жидкости, шприц НеуказанаСтрана		
Гинипрал 5мкг/мл ампула 2мл №5 (расслабл.мускул.матки) (гинеколог) НеуказанаСтрана		
Гипотиазид 25мг таблетка №20 (ст) НеуказанаСтрана		
Глицин 0,1г  №50, таблетка		
Глюкоза (декстроза) 40% ,10мл №10, ампула 		
Глюкоза (декстроза) 5% раствор для инфузий 250мл. флакон. НеуказанаСтрана		
Глюкоза (декстроза) 5% раствор для инфузий, 500 мл., флакон		
Глюкофаж 500мг таблетка №60 (ст) НеуказанаСтрана		
Головодержатель с отверстием (бандаж шейный) р. S, M, L, XL Т4 		
Гонадотропин хорионический лиоф. 5000 МЕ, фл.5мл№5 НеуказанаСтрана		
Гонал-Ф 33мкг/450МЕ,для п/к введ,шприц-ручка вкомпл с 12 иглами,шт НеуказанаСтрана		
Гонал-Ф 5,5мкг/75МЕ лиоф для р-ра п/к введ + раств Б 3мл гормон (гинеколог) НеуказанаСтрана		
Гонал-Ф 900 МЕ р-р для п/к введ 66 мкн/1,5 мл + иглы НеуказанаСтрана		
Гордокс 100000 ЕД 10мл №25., ампула НеуказанаСтрана		
Губка гемостатическая 5*5 №1, штука		
Губка гемостатическая 9*9 №1. штука		
Губка чистящая д/электродов 50*50 мм НеуказанаСтрана		
Дакарбазин ЛЭНС, лиофилизат для приготовления раствора для внутривенного введения 200мг №1, флакон НеуказанаСтрана		
Дакарбазин, 100мг лиоф.порош.д/инъ. №1 (хим) НеуказанаСтрана		
Де-нол 120мг таблетка (преп.висмута) (п/язв.а/б) (ст)		
Дез средство "Ноколиз" картридж 2л НеуказанаСтрана		
Дез средство- кожный антисептик, ЭКОБРИЗ спрей 0,75л,/ 1л., литр НеуказанаСтрана		
Дезвайзер концентрат,дез ср-во для моющей машины НеуказанаСтрана		
Дезринит спрей назал дозир. 50 мгк		
Дексалгин р-р для в/в и в/м введ. 25мг/мл, амп 2 мл.		
Дексаметазон 4мг, 1мл №25, ампула		
Держатель для криопробирок,шт * №1 НеуказанаСтрана		
Держатель однораз. стандарт. нестер. на вак пробирки НеуказанаСтрана		
Детралекс, 500мг, таблетка		
Диабетон МВ 30мг таблетка №60 (ст) * №60 НеуказанаСтрана		
Диакарб таб.250мг №30 НеуказанаСтрана		
Диафлекс Ромфарм капс. 50 мг. № 30 НеуказанаСтрана		
Дигоксин 0,25мг таблетка/флакон №50 (ст) * №50 НеуказанаСтрана		
Диклофенак 75мг. 3мл №5, ампула		
Диклофенак р-р д/в/м введения 25мг/мл 3мл амп.N5 №5 Эллара ООО РОССИЯ		
Дилятатор ступенчатый большой 5/8 мм НеуказанаСтрана		
Дилятатор ступенчатый большой 8/12 мм НеуказанаСтрана		
Димедрол 1%  1мл №10, ампула		
Дипроспан (бетаметазон) 2мг+5мг/мл 1мл, ампула		
Диротон табл. 10 мг., штука * №1 НеуказанаСтрана		
Диувер таб.10мг (диур)		
Диферелин лиоф.д/пригот сусп фл.0,1 г №7		
Дифлюкан капс 150мг №12		
Дифлюкан р-р для в/в введ. 2мг./1 мл.фл.100мл. * №1 НеуказанаСтрана		
Дицетел 50мг таблетка №20 (спазмолит) (ст) * №20 НеуказанаСтрана		
Дицинон р-р д/ин 125 мг/мл, 2 мл. № 50, ампула		
Добутамин Гексал порош. д/инъ. 250 мг, флакон НеуказанаСтрана		
Дозатор локтевой НеуказанаСтрана		
Дозировочный насос д/флакона НеуказанаСтрана		
Доксорубицин лиофилизат д/р-ра 50мг., флакон НеуказанаСтрана		
Допамин 40 мг/мл 5мл №10 конц д/р-ра д/инф, ампула 		
Дормикум амп. 5 мг/мл. 3мл.№3,штука НеуказанаСтрана		
Доцетаксел Сандоз 10 мг/мл 8 мл № 1, флакон * №1 НеуказанаСтрана		
Доцетаксел-Сандоз фл конц 10мг/мл 2 мл №1 * №1 НеуказанаСтрана		
Дренаж Blake д/системы J-Vac 10 FR 2227 НеуказанаСтрана		
Дренаж Blake силиконовый круглый Этикон без троакара (15F) (2228) (оп) * №1 НеуказанаСтрана		
Дюспаталин ретард 200мг., №30., капсула		
Дюфалак сироп фл.1000 мл.		
Емкость д/утилизации колющ-режущ отходов 3л.,штука НеуказанаСтрана		
Емкость для утилизации кл. Б 0,25 л		
Емкость для утилизации острого инструментария клБ 0,5л.-	23
Емкость-контейнер д/сбора, хранения и удаления медотходов, 3 л, 6 л, 10 л. НеуказанаСтрана		
Зарсио 48 млн/ед 0,5 мл,шт * №1 НеуказанаСтрана		
Зеркало влагалищное по Куско р. S, M, L 		
Зеркало гортанное d  16мм, штука		
Зеркало гортанное d 22 мм, штука НеуказанаСтрана		
Зеркало носовое с длиной губок 30мм 		
Зидовудин -АЗТ таб. п/о  300мг, штука * №1 НеуказанаСтрана		
Зилам-ТЛ таб п/пп/о 300 мг+150мг бан №60 , таблетка * №60 НеуказанаСтрана		
Зовиракс 250мл фл. №1 НеуказанаСтрана		
Зонд (катетер) аспирационный СН-ВСЕ РАЗМЕРЫ, штука НеуказанаСтрана		
Зонд для литотриптора "Уролит", все размеры, штука * №1 НеуказанаСтрана		
Зонд для питания (назогастральный) CH12-18 (120см) НеуказанаСтрана		
Зонд желудочный  стер СН 12-20 длина 76см НеуказанаСтрана		
Зонд желудочный стер СН 12 длина 800мм НеуказанаСтрана		
Зонд желудочный стерильный №16, 18, 20, 22, 24, 28, 32 ВСЕ НеуказанаСтрана		
Зонд силиконовый одноканальный для тотальной декомпрессии ЖКТ НеуказанаСтрана		
Зонд урогенитальный стерил тип В "Ложка Фолькмана" * №1 НеуказанаСтрана		
Зонд урогенитальный стерильный тип А, B, C, D, E (Цитощетка, Универсальный) НеуказанаСтрана		
Зонд-обтуратор (Блекмора) НеуказанаСтрана		
Зонд-тампон Полипропилен+Вискоза, среда Эймса +актив уголь  д/вз биоматериала на бак.посевы, штука		
Игла Vacuette Vision Plus G21 д/забора крови НеуказанаСтрана		
Игла Vacuette двусторонняя д/взятия венозной крови стандарт G21, штука * №1 НеуказанаСтрана		
Игла Visio Plus для забора крови в пробирку, двусторонняя зеленая 0,8*38мм G21, штука НеуказанаСтрана		
Игла биопсийная подрезная гильотинного типа д/автомат системы MAGNUM 16G*13см 10.10		
Игла для забора яйцеклетки 17G 33 см,однопросветная,шт НеуказанаСтрана		
Игла инъекционная ВСЕ РАЗМЕРЫ штука НеуказанаСтрана		
Игла инъекционная Стерикан G18, штука * №1 НеуказанаСтрана		
Игла инъекционная Стерикан G21, штука * №1 НеуказанаСтрана		
Игла Сурекан 19 G, 20 G с крыльями и коннектором, штука НеуказанаСтрана		
Игла-бабочка д/вливаний в малые вены с крылышками, без адаптера, без удлинителя G21 G 23		
Игла-бабочка для забора крови, с луэр-адаптером и длинным катетером, G23х3/4, штука НеуказанаСтрана		
Изокет аэрозоль 300доз. фл.15мл НеуказанаСтрана		
Изопринозин 0,5г таблетка №30 (ст) НеуказанаСтрана		
Имодиум таб. лингв. 2мг №6		
Индигокармин р-р, 0,5% стерильный 200 мл,фл НеуказанаСтрана		
Индикатор Интест П-134/5-02, ПФ-В паровой стерилизации (стер.хим.однораз.) * №1 НеуказанаСтрана		
Индикатор Интест П-134/5-02, ПФ-В паровой стерилизации (стер.хим.однораз.) НеуказанаСтрана		
Индикатор стерилизации Стеритест-П-132/20-02 химический (упаковка 1000 штук) * №100 НеуказанаСтрана		
Индометацин Софарма, суппозитории ректальные, 10 мг.№6, штука НеуказанаСтрана		
Инсеминационный катетер, шт НеуказанаСтрана		
Инструмент биополярный Bi Cision M дл. 350 мм, (20195-311), штука * №1 НеуказанаСтрана		
Инструмент для эвакуации органов и тканей Endobag, штука		
Инъектор(игла инъекционная) NET2422-G6,шт НеуказанаСтрана		
Инъектран р-р в/м введ. 100 мг/мл 2 мл НеуказанаСтрана		
Иринотекан, конц.для р-ра для инфузий 20мг/мл 2мл, штука * №1 НеуказанаСтрана		
Иринотекан, конц.для р-ра для инфузий 20мг/мл 5мл, штука		
Йода р-р спирт 5%  10мл., флакон НеуказанаСтрана		
Йоностерил раствор для инфузий, 500 мл, флакон 		
Кавинтон, концетрат д/приготовления р-ра д/инфузий, 5 мл, ампула		
Калий-Ольвекс Набор реагентов 2*50 мл НеуказанаСтрана		
Калия перманганат р-р 1% 0,01мг/порошок, флакон НеуказанаСтрана		
Калия хлорид 4%  10мл №10, ампула НеуказанаСтрана		
Калия-магния-аспарагинат КМА р-р д/инфузий  250 мл., флакон * №1 НеуказанаСтрана		
Калоприемник Абуцил К полимер зап/непр №5 (ст) НеуказанаСтрана		
Кальция глюконат 10% ампула 5мл №10 (кардио) (оп) НеуказанаСтрана		
Кальция хлорид 10%  5 - 10мл №10, ампула		
Канефрон драже №60 (ст)		
Канюля Мини Спайк Плюс для многократ.забора медик-тов, стер.1крат. примен-я * №1 НеуказанаСтрана		
Канюля назальная кислородная, стерильная, штука		
Канюля офтальмологическая 21-R026 НеуказанаСтрана		
Капиляр для стриппера(мультиупаковка) 275 мкм,шт		
Капотен (каптоприл) 25 мг №28, №40, №56, таблетка 		
Капрон БЕЗ ИГЛЫ ВСЕ РАЗМЕРЫ Шовный материал НеуказанаСтрана		
Капрон НА ИГЛЕ ВСЕ РАЗМЕРЫ Шовный материал НеуказанаСтрана		
Каптоприл таб. 25мг №20 (капотен) НеуказанаСтрана		
Карандаш стерильный электрохирургический с "ручным управлением" FIAB одноразовый НеуказанаСтрана		
Карбоплатин/Карбоплатин Тева 450 мг. конц д/инф 15мл (10мг/мл)  флакон * №1 НеуказанаСтрана		
Карбоплатин/Карбоплатин Тева лиофилизат д/приготовления раствора 150мг 15мл (10мг/мл) флакон * №1 НеуказанаСтрана		
Кардиомагнил 75мг таблетка/флакон №100 (ст) НеуказанаСтрана		
Картридж со средне-большими клипсами стерильный (Этикон) (клипсы титан 6шт в картридже) (оп) НеуказанаСтрана		
Картридж со средними клипсами стерильный (Этикон) НеуказанаСтрана		
Кассеты для плазменного стерилизатора СТЕРРАД 100S, штука		
Катеджель с лидокаином гель 12,5г шприц №1, штука 		
Катетер в/в периферический с дополнительным портом ВСЕ РАЗМЕРЫ штука * №1 НеуказанаСтрана		
Катетер в/в периферический с дополнительным портом ВСЕ РАЗМЕРЫ штука * №1 РОССИЯ		
Катетер в/в периферический с дополнительным портом ВСЕ РАЗМЕРЫ штука НеуказанаСтрана	32
Катетер внутривенный с крыльями и доп портом 26G * №1 * №1 РОССИЯ		
Катетер кубитальный гиб.с доп.порт.и крыл.д/в/в влив.(G18,20,22,24,26) * №1 НеуказанаСтрана		
Катетер мочеточниковый экстра гладкий 70 см, штука НеуказанаСтрана		
Катетер Нелатона (уретральный) стерильный FR 10, 12, 14, 16, 18 (ст) НеуказанаСтрана		
Катетер Фолея (уретральный) 2-х ходовой  ВСЕ РАЗМЕРЫ НеуказанаСтрана		
Катетер Фолея (уретральный) 3-х ходовой №16,18,20,24 НеуказанаСтрана		
